"GEOGRAPHY_NAME","OBS_VALUE"
"Ardwick",135
"Baguley",100
"Bradford",145
"Brooklands",65
"Burnage",85
"Charlestown",110
"Cheetham",135
"Chorlton",35
"Chorlton Park",65
"City Centre",15
"Crumpsall",85
"Didsbury East",25
"Didsbury West",25
"Fallowfield",95
"Gorton North",160
"Gorton South",145
"Harpurhey",175
"Higher Blackley",80
"Hulme",115
"Levenshulme",65
"Longsight",110
"Miles Platting and Newton Heath",155
"Moss Side",190
"Moston",80
"Northenden",95
"Old Moat",85
"Rusholme",120
"Sharston",115
"Whalley Range",65
"Withington",45
"Woodhouse Park",95
"Alexandra",135
"Chadderton Central",45
"Chadderton North",65
"Chadderton South",75
"Coldhurst",155
"Crompton",40
"Failsworth East",45
"Failsworth West",50
"Hollinwood",105
"Medlock Vale",105
"Royton North",35
"Royton South",35
"Saddleworth North",5
"Saddleworth South",15
"Saddleworth West and Lees",30
"Shaw",55
"St James'",85
"St Mary's",155
"Waterhead",100
"Werneth",140
"Balderstone and Kirkholt",70
"Bamford",45
"Castleton",60
"Central Rochdale",110
"East Middleton",45
"Healey",45
"Hopwood Hall",70
"Kingsway",90
"Littleborough Lakeside",30
"Milkstone and Deeplish",115
"Milnrow and Newhey",30
"Norden",20
"North Heywood",70
"North Middleton",60
"Smallbridge and Firgrove",75
"South Middleton",30
"Spotland and Falinge",75
"Wardle and West Littleborough",35
"West Heywood",60
"West Middleton",95
"Barton",80
"Boothstown and Ellenbrook",20
"Broughton",135
"Cadishead",45
"Claremont",30
"Eccles",40
"Irlam",35
"Irwell Riverside",95
"Kersal",50
"Langworthy",130
"Little Hulton",145
"Ordsall",65
"Pendlebury",55
"Swinton North",55
"Swinton South",40
"Walkden North",90
"Walkden South",40
"Weaste and Seedley",80
"Winton",80
"Worsley",10
"Bramhall North",20
"Bramhall South",5
"Bredbury and Woodley",40
"Bredbury Green and Romiley",55
"Brinnington and Central",165
"Cheadle and Gatley",20
"Cheadle Hulme North",25
"Cheadle Hulme South",20
"Davenport and Cale Green",70
"Edgeley and Cheadle Heath",55
"Hazel Grove",15
"Heald Green",20
"Heatons North",20
"Heatons South",40
"Manor",45
"Marple North",15
"Marple South",15
"Offerton",50
"Reddish North",55
"Reddish South",40
"Stepping Hill",25
"Ashton Hurst",85
"Ashton St Michael's",85
"Ashton Waterloo",55
"Audenshaw",45
"Denton North East",50
"Denton South",45
"Denton West",40
"Droylsden East",45
"Droylsden West",40
"Dukinfield",85
"Dukinfield Stalybridge",40
"Hyde Godley",75
"Hyde Newton",80
"Hyde Werneth",45
"Longdendale",50
"Mossley",50
"St Peter's",105
"Stalybridge North",105
"Stalybridge South",40
"Altrincham",20
"Ashton upon Mersey",10
"Bowdon",10
"Broadheath",30
"Brooklands",10
"Bucklow-St Martins",75
"Clifford",95
"Davyhulme East",30
"Davyhulme West",25
"Flixton",15
"Gorse Hill",60
"Hale Barns",10
"Hale Central",0
"Longford",55
"Priory",15
"Sale Moor",30
"St Mary's",40
"Stretford",50
"Timperley",10
"Urmston",20
"Village",25
"Abram",100
"Ashton",25
"Aspull New Springs Whelley",25
"Astley Mosley Common",30
"Atherleigh",65
"Atherton",130
"Bryn",50
"Douglas",70
"Golborne and Lowton West",35
"Hindley",90
"Hindley Green",35
"Ince",100
"Leigh East",70
"Leigh South",80
"Leigh West",130
"Lowton East",30
"Orrell",25
"Pemberton",100
"Shevington with Lower Ground",15
"Standish with Langtree",20
"Tyldesley",55
"Wigan Central",70
"Wigan West",60
"Winstanley",15
"Worsley Mesnes",75
"Bank Hall",60
"Briercliffe",10
"Brunshaw",50
"Cliviger with Worsthorne",5
"Coal Clough with Deerplay",20
"Daneshouse with Stoneyholme",55
"Gannow",50
"Gawthorpe",45
"Hapton with Park",20
"Lanehead",25
"Queensgate",35
"Rosegrove with Lowerhouse",50
"Rosehill with Burnley Wood",40
"Trinity",85
"Whittlefield with Ightenhill",20
"Adlington and Anderton",10
"Astley and Buckshaw",15
"Brindle and Hoghton",0
"Chisnall",5
"Chorley East",25
"Chorley North East",25
"Chorley North West",10
"Chorley South East",30
"Chorley South West",45
"Clayton-le-Woods and Whittle-le-Woods",10
"Clayton-le-Woods North",35
"Clayton-le-Woods West and Cuerden",5
"Coppull",25
"Eccleston and Mawdesley",10
"Euxton North",10
"Euxton South",0
"Heath Charnock and Rivington",5
"Lostock",5
"Pennine",0
"Wheelton and Withnell",5
"Ansdell",0
"Ashton",10
"Central",20
"Clifton",0
"Elswick and Little Eccleston",0
"Fairhaven",5
"Freckleton East",5
"Freckleton West",5
"Heyhouses",10
"Kilnhouse",15
"Kirkham North",10
"Kirkham South",5
"Medlar-with-Wesham",5
"Newton and Treales",0
"Park",10
"Ribby-with-Wrea",5
"Singleton and Greenhalgh",0
"St Johns",15
"St Leonards",10
"Staining and Weeton",5
"Warton and Westby",10
"Altham",25
"Barnfield",40
"Baxenden",5
"Central",60
"Church",55
"Clayton-le-Moors",25
"Huncoat",15
"Immanuel",20
"Milnshaw",20
"Netherton",35
"Overton",10
"Peel",35
"Rishton",30
"Spring Hill",50
"St Andrew's",25
"St Oswald's",15
"Bare",10
"Bolton-le-Sands",5
"Bulk",35
"Carnforth",5
"Castle",20
"Duke's",15
"Ellel,University",5
"Halton-with-Aughton",5
"Harbour",50
"Heysham Central",15
"Heysham North",45
"Heysham South",20
"John O'Gaunt",10
"Kellet",0
"Lower Lune Valley",5
"Overton",10
"Poulton",60
"Scotforth East",10
"Scotforth West",10
"Silverdale",0
"Skerton East",35
"Skerton West",50
"Slyne-with-Hest",5
"Torrisholme",10
"Upper Lune Valley",0
"Warton",5
"Westgate",35
"Barrowford",5
"Blacko and Higherford",0
"Boulsworth",0
"Bradley",45
"Brierfield",30
"Clover Hill",30
"Coates",15
"Craven",5
"Earby",10
"Foulridge",0
"Higham and Pendleside",0
"Horsfield",20
"Marsden",10
"Old Laund Booth",0
"Reedley",15
"Southfield",40
"Vivary Bridge",25
"Walverden",20
"Waterside",30
"Whitefield",15
"Ashton",20
"Brookfield",25
"Cadley",10
"College",5
"Deepdale",25
"Fishwick",35
"Garrison",15
"Greyfriars",5
"Ingol",25
"Larches",35
"Lea",20
"Moor Park",30
"Preston Rural East",5
"Preston Rural North",5
"Ribbleton",50
"Riversway",35
"Sharoe Green",15
"St George's",60
"St Matthew's",50
"Town Centre",50
"Tulketh",40
"University",15
"Aighton, Bailey and Chaigley",0
"Alston and Hothersall",5
"Billington and Old Langho",0
"Bowland, Newton and Slaidburn",0
"Chatburn",5
"Chipping",0
"Clayton-le-Dale with Ramsgreave",0
"Derby and Thornley",0
"Dilworth",5
"Edisford and Low Moor",5
"Gisburn, Rimington",0
"Langho",0
"Littlemoor",10
"Mellor",0
"Primrose",5
"Read and Simonstone",5
"Ribchester",0
"Sabden",0
"Salthill",5
"St Mary's",5
"Waddington and West Bradford",0
"Whalley",0
"Wilpshire",5
"Wiswell and Pendleton",0
"Cribden",10
"Eden",5
"Facit and Shawforth",15
"Goodshaw",5
"Greenfield",20
"Greensclough",30
"Hareholme",25
"Healey and Whitworth",20
"Helmshore",10
"Irwell",45
"Longholme",30
"Stacksteads",20
"Whitewell",15
"Worsley",50
"Bamber Bridge East",10
"Bamber Bridge North",10
"Bamber Bridge West",15
"Broad Oak",10
"Charnock",5
"Coupe Green and Gregson Lane",5
"Earnshaw Bridge",10
"Farington East",5
"Farington West",10
"Golden Hill",20
"Howick and Priory",5
"Kingsfold",20
"Leyland Central",15
"Leyland St. Ambrose",15
"Leyland St. Mary's",5
"Little Hoole and Much Hoole",5
"Longton and Hutton West",5
"Lostock Hall",10
"Lowerhouse",30
"Middleforth",5
"Moss Side",10
"New Longton and Hutton East",5
"Samlesbury and Walton",5
"Seven Stars",15
"Tardy Gate",5
"Walton-le-Dale",5
"Whitefield",5
"Ashurst",20
"Aughton and Downholland",0
"Aughton Park",5
"Bickerstaffe",0
"Birch Green",30
"Burscough East",5
"Burscough West",10
"Derby",15
"Digmoor",50
"Halsall",5
"Hesketh-with-Becconsall",5
"Knowsley",5
"Moorside",30
"Newburgh",0
"North Meols",10
"Parbold",5
"Rufford",5
"Scarisbrick",10
"Scott",15
"Skelmersdale North",25
"Skelmersdale South",20
"Tanhouse",35
"Tarleton",10
"Up Holland",20
"Wrightington",5
"Bourne",20
"Breck",0
"Brock",0
"Cabus",5
"Calder",0
"Carleton",5
"Catterall",0
"Cleveleys Park",10
