"GEOGRAPHY_NAME","GEOGRAPHY_CODE","AGE_NAME","OBS_VALUE"
"Rift House","E36000012","Aged 16-24",55
"Rift House","E36000012","Aged 25-29",25
"Rossmere","E36000013","Aged 16-24",35
"Rossmere","E36000013","Aged 25-29",15
"Seaton","E36000014","Aged 16-24",25
"Seaton","E36000014","Aged 25-29",10
"St Hilda","E36000015","Aged 16-24",50
"St Hilda","E36000015","Aged 25-29",25
"Stranton","E36000016","Aged 16-24",110
"Stranton","E36000016","Aged 25-29",60
"Throston","E36000017","Aged 16-24",25
"Throston","E36000017","Aged 25-29",20
"Acklam","E36000018","Aged 16-24",25
"Acklam","E36000018","Aged 25-29",15
"Ayresome","E36000019","Aged 16-24",40
"Ayresome","E36000019","Aged 25-29",35
"Beckfield","E36000020","Aged 16-24",45
"Beckfield","E36000020","Aged 25-29",30
"Beechwood","E36000021","Aged 16-24",40
"Beechwood","E36000021","Aged 25-29",30
"Brookfield","E36000022","Aged 16-24",10
"Brookfield","E36000022","Aged 25-29",10
"Clairville","E36000023","Aged 16-24",55
"Clairville","E36000023","Aged 25-29",25
"Coulby Newham","E36000024","Aged 16-24",25
"Coulby Newham","E36000024","Aged 25-29",25
"Gresham","E36000025","Aged 16-24",115
"Gresham","E36000025","Aged 25-29",105
"Hemlington","E36000026","Aged 16-24",45
"Hemlington","E36000026","Aged 25-29",30
"Kader","E36000027","Aged 16-24",15
"Kader","E36000027","Aged 25-29",5
"Ladgate","E36000028","Aged 16-24",35
"Ladgate","E36000028","Aged 25-29",20
"Linthorpe","E36000029","Aged 16-24",35
"Linthorpe","E36000029","Aged 25-29",30
"Marton","E36000030","Aged 16-24",5
"Marton","E36000030","Aged 25-29",0
"Marton West","E36000031","Aged 16-24",10
"Marton West","E36000031","Aged 25-29",5
"Middlehaven","E36000032","Aged 16-24",75
"Middlehaven","E36000032","Aged 25-29",50
"North Ormesby and Brambles Farm","E36000033","Aged 16-24",85
"North Ormesby and Brambles Farm","E36000033","Aged 25-29",70
"Nunthorpe","E36000034","Aged 16-24",5
"Nunthorpe","E36000034","Aged 25-29",0
"Pallister","E36000035","Aged 16-24",60
"Pallister","E36000035","Aged 25-29",40
"Park","E36000036","Aged 16-24",30
"Park","E36000036","Aged 25-29",25
"Park End","E36000037","Aged 16-24",65
"Park End","E36000037","Aged 25-29",40
"Stainton and Thornton","E36000038","Aged 16-24",10
"Stainton and Thornton","E36000038","Aged 25-29",5
"Thorntree","E36000039","Aged 16-24",100
"Thorntree","E36000039","Aged 25-29",55
"University","E36000040","Aged 16-24",65
"University","E36000040","Aged 25-29",50
"Alnwick","E36001126","Aged 16-24",25
"Alnwick","E36001126","Aged 25-29",10
"Amble","E36001127","Aged 16-24",25
"Amble","E36001127","Aged 25-29",15
