"DATE","DATE_NAME","DATE_CODE","DATE_TYPE","DATE_TYPECODE","DATE_SORTORDER","GEOGRAPHY","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GEOGRAPHY_TYPE","GEOGRAPHY_TYPECODE","GEOGRAPHY_SORTORDER","GENDER","GENDER_NAME","GENDER_CODE","GENDER_TYPE","GENDER_TYPECODE","GENDER_SORTORDER","AGE","AGE_NAME","AGE_CODE","AGE_TYPE","AGE_TYPECODE","AGE_SORTORDER","MEASURE","MEASURE_NAME","MEASURE_CODE","MEASURE_TYPE","MEASURE_TYPECODE","MEASURE_SORTORDER","MEASURES","MEASURES_NAME","OBS_VALUE","OBS_STATUS","OBS_STATUS_NAME","OBS_CONF","OBS_CONF_NAME","URN","RECORD_OFFSET","RECORD_COUNT"
"2019-09","September 2019","2019-09","date",0,0,"989856814","Benfieldside","E36001070","2011 census frozen wards",236,31,"0","Total","0","Sex",1000,0,"2","Aged 16-24","2","Ageband",2000,0,"1","Claimant count","1","measures",1000,0,"20100","Value",35,"A","Normal Value","F","Free (free for publication)","Nm-162d1d32313e0d989856814d0d0d2d1d20100",31,9481
"2019-09","September 2019","2019-09","date",0,0,"989856815","Bishop Auckland Town","E36001071","2011 census frozen wards",236,32,"0","Total","0","Sex",1000,0,"2","Aged 16-24","2","Ageband",2000,0,"1","Claimant count","1","measures",1000,0,"20100","Value",50,"A","Normal Value","F","Free (free for publication)","Nm-162d1d32313e0d989856815d0d0d2d1d20100",32,9481
"2019-09","September 2019","2019-09","date",0,0,"989856816","Blackhalls","E36001072","2011 census frozen wards",236,33,"0","Total","0","Sex",1000,0,"2","Aged 16-24","2","Ageband",2000,0,"1","Claimant count","1","measures",1000,0,"20100","Value",55,"A","Normal Value","F","Free (free for publication)","Nm-162d1d32313e0d989856816d0d0d2d1d20100",33,9481
"2019-09","September 2019","2019-09","date",0,0,"989856817","Brandon","E36001073","2011 census frozen wards",236,34,"0","Total","0","Sex",1000,0,"2","Aged 16-24","2","Ageband",2000,0,"1","Claimant count","1","measures",1000,0,"20100","Value",55,"A","Normal Value","F","Free (free for publication)","Nm-162d1d32313e0d989856817d0d0d2d1d20100",34,9481
"2019-09","September 2019","2019-09","date",0,0,"989856818","Burnopfield and Dipton","E36001074","2011 census frozen wards",236,35,"0","Total","0","Sex",1000,0,"2","Aged 16-24","2","Ageband",2000,0,"1","Claimant count","1","measures",1000,0,"20100","Value",25,"A","Normal Value","F","Free (free for publication)","Nm-162d1d32313e0d989856818d0d0d2d1d20100",35,9481
"2019-09","September 2019","2019-09","date",0,0,"989856819","Chester-le-Street North and East","E36001075","2011 census frozen wards",236,36,"0","Total","0","Sex",1000,0,"2","Aged 16-24","2","Ageband",2000,0,"1","Claimant count","1","measures",1000,0,"20100","Value",25,"A","Normal Value","F","Free (free for publication)","Nm-162d1d32313e0d989856819d0d0d2d1d20100",36,9481
"2019-09","September 2019","2019-09","date",0,0,"989856820","Chester-le-Street South","E36001076","2011 census frozen wards",236,37,"0","Total","0","Sex",1000,0,"2","Aged 16-24","2","Ageband",2000,0,"1","Claimant count","1","measures",1000,0,"20100","Value",25,"A","Normal Value","F","Free (free for publication)","Nm-162d1d32313e0d989856820d0d0d2d1d20100",37,9481
"2019-09","September 2019","2019-09","date",0,0,"989856821","Chester-le-Street West Central","E36001077","2011 census frozen wards",236,38,"0","Total","0","Sex",1000,0,"2","Aged 16-24","2","Ageband",2000,0,"1","Claimant count","1","measures",1000,0,"20100","Value",70,"A","Normal Value","F","Free (free for publication)","Nm-162d1d32313e0d989856821d0d0d2d1d20100",38,9481
"2019-09","September 2019","2019-09","date",0,0,"989856822","Chilton","E36001078","2011 census frozen wards",236,39,"0","Total","0","Sex",1000,0,"2","Aged 16-24","2","Ageband",2000,0,"1","Claimant count","1","measures",1000,0,"20100","Value",50,"A","Normal Value","F","Free (free for publication)","Nm-162d1d32313e0d989856822d0d0d2d1d20100",39,9481
"2019-09","September 2019","2019-09","date",0,0,"989856823","Consett North","E36001079","2011 census frozen wards",236,40,"0","Total","0","Sex",1000,0,"2","Aged 16-24","2","Ageband",2000,0,"1","Claimant count","1","measures",1000,0,"20100","Value",50,"A","Normal Value","F","Free (free for publication)","Nm-162d1d32313e0d989856823d0d0d2d1d20100",40,9481
