GEOGRAPHY_NAME,OBS_VALUE
"Kirkby Stephen,Ravenstonedale",10
Kirkby Thore,10
Kirkoswald,0
Langwathby,25
Lazonby,5
Long Marton,10
Morland,20
Orton with Tebay,0
Penrith Carleton,5
Penrith East,0
Penrith North,5
Penrith Pategill,5
Penrith South,0
Penrith West,0
Shap,0
Ullswater,0
Warcop,0
Ambleside and Grasmere,0
Arnside and Beetham,0
Broughton,0
Burneside,10
Burton and Holme,0
Cartmel and Grange West,0
Coniston and Crake Valley,0
Crooklands,0
Grange North,0
Grange South,0
Hawkshead,0
Holker,0
Kendal Castle,10
Kendal Far Cross,5
Kendal Fell,5
Kendal Heron Hill,10
Kendal Highgate,5
Kendal Kirkland,5
Kendal Mintsfeet,0
Kendal Nether,0
Kendal Oxenholme and Natland,0
Kendal Parks,5
Kendal Romney,0
Kendal Stonecross,0
Kendal Strickland,0
Kendal Underley,0
Levens,0
Low Furness,0
Lyth Valley,0
Mid Furness,0
Milnthorpe,0
Sedbergh and Kirkby Lonsdale,0
Staveley-in-Cartmel,0
Staveley-in-Westmorland,0
Ulverston Central,5
Ulverston East,10
Ulverston North,0
Ulverston South,0
Ulverston Town,10
Ulverston West,0
Whinfell,5
Windermere Applethwaite and Troutbeck,0
Windermere Bowness North,0
Windermere Bowness South,5
Windermere Town,0
Astley Bridge,5
Bradshaw,0
Breightmet,0
Bromley Cross,0
Crompton,0
Great Lever,5
Halliwell,0
Harper Green,5
Heaton and Lostock,0
Horwich and Blackrod,0
Horwich North East,5
Hulton,5
Kearsley,5
Little Lever and Darcy Lever,0
Rumworth,0
Smithills,0
Tonge with the Haulgh,0
Westhoughton North and Chew Moor,0
Westhoughton South,5
Besses,0
Church,0
East,55
Holyrood,55
Moorside,120
North Manor,20
Pilkington Park,135
Radcliffe East,150
Radcliffe North,110
Radcliffe West,145
Ramsbottom,105
Redvales,25
Sedgley,30
Tottington,40
Unsworth,75
Ancoats and Clayton,45
Ardwick,40
Baguley,125
Bradford,65
Brooklands,120
Burnage,30
Charlestown,45
Cheetham,70
Chorlton,30
Chorlton Park,95
City Centre,55
Crumpsall,40
Didsbury East,110
Didsbury West,10
Fallowfield,20
Gorton North,70
Gorton South,45
Harpurhey,65
Higher Blackley,30
Hulme,60
Levenshulme,35
Longsight,40
Miles Platting and Newton Heath,25
Moss Side,30
Moston,105
Northenden,135
Old Moat,100
Rusholme,145
Sharston,65
Whalley Range,85
Withington,110
Woodhouse Park,135
Alexandra,35
Chadderton Central,65
Chadderton North,15
Chadderton South,85
Coldhurst,25
Failsworth East,25
Failsworth West,95
Hollinwood,160
Medlock Vale,145
Royton North,175
Royton South,80
Saddleworth North,115
Saddleworth South,65
Saddleworth West and Lees,110
Shaw,155
St James',190
Waterhead,80
Werneth,95
