GEOGRAPHY_CODE,OBS_VALUE,,,,,,,,GEOGRAPHY_NAME
E05001608,45,,,,,Finaghy,95GG23,5,Latchford East
E05001609,20,,,,,Fortwilliam,95GG24,5,Latchford West
E05001610,15,,,,,Glen Road,95GG25,15,Lymm
E05001611,50,,,,,Glencairn,95GG26,15,Orford
E05001612,10,,,,,Glencolin,95GG27,30,Penketh and Cuerdley
E05001613,65,,,,,Highfield,95GG28,20,Poplars and Hulme
E05001614,40,,,,,Island,95GG29,20,Poulton North
E05001615,10,,,,,Knock,95GG30,10,Poulton South
E05001616,15,,,,,Ladybrook,95GG31,25,Rixton and Woolston
E05001617,10,,,,,Legoniel,95GG32,10,Stockton Heath
E05001618,5,,,,,Malone,95GG33,5,Westbrook
E05001619,30,,,,,Musgrave,95GG34,10,Whittle Hall
E05001620,65,,,,,New Lodge,95GG35,10,Audley
E05001621,55,,,,,Orangefield,95GG36,20,Bastwell
E05001622,15,,,,,Ravenhill,95GG37,15,Beardwood with Lammack
E05001623,30,,,,,Rosetta,95GG38,5,Corporation Park
E05001624,35,,,,,Shaftesbury,95GG39,40,Earcroft
E05001625,0,,,,,Shankill,95GG40,30,East Rural
E05001626,55,,,,,Stormont,95GG41,5,Ewood
E05001627,15,,,,,Stranmillis,95GG42,10,Fernhurst
E05001628,45,,,,,Sydenham,95GG43,15,Higher Croft
E05001629,45,,,,,The Mount,95GG44,40,Little Harwood
E05001630,15,,,,,Upper Malone,95GG45,10,Livesey with Pleasington
E05001631,15,,,,,Upper Springfield,95GG46,25,Marsh House
E05001632,35,,,,,Water Works,95GG47,20,Meadowhead
E05001633,45,,,,,Whiterock,95GG48,35,Mill Hill
E05001634,0,,,,,Windsor,95GG49,20,North Turton with Tockholes
E05001635,40,,,,,Woodstock,95GG50,30,Queen's Park
E05001636,20,,,,,Woodvale,95GG51,35,Roe Lee
E05001637,75,,,,,Blackhead,95HH01,5,Shadsworth with Whitebirk
E05001638,45,,,,,Bluefield,95HH02,10,Shear Brow
E05001639,65,,,,,Boneybefore,95HH03,5,Sudell
E05001640,35,,,,,Burleigh Hill,95HH04,10,Sunnyhurst
E05001641,80,,,,,Clipperstown,95HH05,20,Wensley Fold
E05001642,10,,,,,Eden,95HH06,15,Whitehall
E05001643,10,,,,,Gortalee,95HH07,15,Anchorsholme
E05001644,15,,,,,Greenisland,95HH08,5,Bispham
E05001645,95,,,,,Killycrot,95HH09,15,Bloomfield
E05001646,60,,,,,Knockagh,95HH10,5,Brunswick
E05001647,105,,,,,Love Lane,95HH11,10,Claremont
E05001648,30,,,,,Milebush,95HH12,5,Clifton
E05001649,20,,,,,Northland,95HH13,15,Greenlands
E05001650,35,,,,,Sunnylands,95HH14,10,Hawes Side
E05001651,10,,,,,Victoria (Carrickfergus LGD),95HH15,5,Highfield
E05001652,30,,,,,Whitehead,95HH16,5,Ingthorpe
E05001653,30,,,,,Woodburn,95HH17,5,Layton
E05001654,10,,,,,Ballyhanwood,95II01,5,Marton
E05001655,5,,,,,Beechill,95II02,5,Norbreck
E05001656,70,,,,,Cairnshill,95II03,10,Park
E05001657,20,,,,,Carrowreagh,95II04,10,Squires Gate
E05001658,10,,,,,Carryduff East,95II05,5,Stanley
E05001659,80,,,,,Carryduff West,95II06,5,Talbot
E05001660,40,,,,,Cregagh,95II07,10,Tyldesley
E05001661,45,,,,,Downshire,95II08,5,Victoria
E05001662,35,,,,,Dundonald,95II09,5,Warbreck
E05001663,55,,,,,Enler,95II10,10,Waterloo
E05001664,75,,,,,Galwally,95II11,5,Avenue
E05001665,15,,,,,Gilnahirk,95II12,5,Beverley
E05001666,35,,,,,Graham's Bridge,95II13,10,Boothferry
E05001667,105,,,,,Hillfoot,95II14,0,Bransholme East
E05001668,95,,,,,Knockbracken,95II15,5,Bransholme West
E05001669,30,,,,,Lisnasharragh,95II16,5,Bricknell
E05001670,40,,,,,Lower Braniel,95II17,5,Derringham
E05001671,80,,,,,Minnowburn,95II18,5,Drypool
E05001672,40,,,,,Moneyreagh,95II19,5,Holderness
E05001673,45,,,,,Newtownbreda,95II20,0,Ings
